SampleID,Plate_number,Plate_name,Plate_position,Site_Name,Sex,Dev_stage,Sample_date,Sample_timing,Site_number,Site_type,Nest_placed_date,Date_extracted,Qiagen_kit,Code,Number_2,Primer,Linker,Linker_2,Combine_1,Combine_2,Combine_3,Decontam,Site_type_Sampling_timing
RF245.013.Plate1.E2.799FMod3.1115R.Moreau.F,1,Plate,E2,Moreau,F,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14,RF245,13,799FMod3.1115R,.,_,Residential_early_Moreau,Residential_early_Moreau_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.014.Plate1.F2.799FMod3.1115R.Moreau.F,1,Plate,F2,Moreau,F,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14,RF245,14,799FMod3.1115R,.,_,Residential_early_Moreau,Residential_early_Moreau_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.015.Plate1.G2.799FMod3.1115R.Moreau.M,1,Plate,G2,Moreau,M,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14,RF245,15,799FMod3.1115R,.,_,Residential_early_Moreau,Residential_early_Moreau_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.016.Plate1.H2.799FMod3.1115R.Moreau.M,1,Plate,H2,Moreau,M,e,5/5/2022,early,8,Residential,4/5/2022,7/27/2022,14,RF245,16,799FMod3.1115R,.,_,Residential_early_Moreau,Residential_early_Moreau_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.017.Plate1.A3.799FMod3.1115R.Fairbrother.F,1,Plate,A3,Fairbrother,F,e,5/10/2022,early,7,Residential,4/5/2022,7/27/2022,14,RF245,17,799FMod3.1115R,.,_,Residential_early_Fairbrother,Residential_early_Fairbrother_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.018.Plate1.B3.799FMod3.1115R.Fairbrother.F,1,Plate,B3,Fairbrother,F,e,5/10/2022,early,7,Residential,4/5/2022,7/27/2022,14,RF245,18,799FMod3.1115R,.,_,Residential_early_Fairbrother,Residential_early_Fairbrother_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.019.Plate1.C3.799FMod3.1115R.Fairbrother.M,1,Plate,C3,Fairbrother,M,e,5/10/2022,early,7,Residential,4/5/2022,7/27/2022,14,RF245,19,799FMod3.1115R,.,_,Residential_early_Fairbrother,Residential_early_Fairbrother_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.020.Plate1.D3.799FMod3.1115R.Fairbrother.M,1,Plate,D3,Fairbrother,M,e,5/10/2022,early,7,Residential,4/5/2022,7/27/2022,14,RF245,20,799FMod3.1115R,.,_,Residential_early_Fairbrother,Residential_early_Fairbrother_M,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.021.Plate1.E3.799FMod3.1115R.Comstock.F,1,Plate,E3,Comstock,F,e,5/10/2022,early,6,Residential,4/5/2022,7/27/2022,14,RF245,21,799FMod3.1115R,.,_,Residential_early_Comstock,Residential_early_Comstock_F,Residential_early_Tobias_F_e,Sample,Residential_early
RF245.022.Plate1.F3.799FMod3.1115R.Comstock.F,1,Plate,F3,Comstock,F,e,5/10/2022,early,6,Residential,4/5/2022,7/27/2022,14,RF245,22,799FMod3.1115R,.,_,Residential_early_Comstock,Residential_early_Comstock_F,Residential_early_Tobias_F_e,Sample,Residential_early
